# Step Torsion_Angles(rad)...
    170000    1.9322    2.1779    2.4270    0.9781    1.7712    3.0606    1.6869    2.7809    2.2948    0.2352    0.9886    0.7842    2.0980    2.4320    2.0826    0.9144    2.7134    0.9182    1.4140    1.4861    1.0487    3.0555    1.5196    0.3544    2.8548    1.4592    0.1511    1.3675    2.4710    0.9720    1.6760    0.9555    3.0020    0.1392    2.9543    0.5209    2.4508    0.1339    2.8565    1.6266    3.0109    1.1025    2.9641    2.7369    0.0740    1.2084    2.9366    1.4217    2.6373    0.9765    1.6614    2.8042    2.7336    3.0277    0.7489    2.0420    2.7842    2.4131    1.0501    0.7903    0.3962    0.6336    0.8258    0.8996    0.5013    1.1992    0.5428    1.6973    0.0633    2.3973    2.9174    0.2578    2.6712    0.5005    1.8425    1.2324    0.5034    2.7316    1.6974    2.7750    0.8578    1.2742    1.7397    2.3271    2.1226    2.1114    2.8943    2.4595    0.4677    0.5706    2.1953    2.7830    2.2154    0.8515    0.7033    2.5379    2.3053
    180000    0.8116    2.7473    1.1315    0.6634    0.4840    0.8358    1.1879    2.9310    1.5549    2.1340    1.4915    1.2345    2.8691    2.9819    0.9568    2.1849    0.3879    0.3962    1.8855    1.5686    0.5855    2.7127    2.2909    3.0623    2.1742    3.1177    0.1709    2.4909    2.8967    1.2610    2.7629    0.0935    1.2169    1.4837    1.6871    1.5784    1.1755    1.4492    2.2741    0.6862    2.4262    0.2348    2.4094    0.2513    2.3851    1.0674    1.7084    0.1460    2.5444    0.9275    2.7703    0.8139    2.6026    1.1600    2.2790    0.7434    2.0678    1.8079    2.2282    0.1252    2.1663    1.5122    0.3294    1.9855    0.1718    2.7908    3.0087    2.6194    2.8712    2.7398    2.9020    2.5519    2.8023    2.9745    3.0076    2.4004    2.5174    1.5294    1.6196    2.7442    1.8710    1.9789    2.9790    2.3162    2.9395    1.4728    1.7249    0.8090    1.7653    0.3172    1.5766    1.7001    2.7521    1.3829    0.1557    0.5586    0.2847
    190000    1.6765    1.2664    1.3099    2.3442    1.0436    0.9906    1.6500    1.6464    0.6495    0.8605    0.6604    2.8377    0.5488    2.3930    1.3306    1.0866    0.2762    0.6312    0.6401    0.8430    2.9653    0.0657    2.7656    2.0888    2.2208    2.1211    1.8804    2.2838    3.1251    0.1915    0.5523    1.9161    1.3881    2.4360    2.2055    0.2764    2.6094    3.1053    1.8009    1.1023    2.5294    2.6325    0.6833    0.9466    0.8308    2.8588    0.4409    0.7715    0.8841    1.5078    0.5011    3.0618    1.3117    2.2905    1.0272    0.9987    1.6603    1.7703    1.7544    2.9166    1.9378    1.5659    1.4487    0.3766    0.7190    0.1355    0.5956    1.2930    2.4988    0.0214    1.8062    0.1301    1.8685    0.0782    0.9747    0.6129    2.5631    0.2995    2.8317    2.3605    2.9967    2.2441    2.8414    3.0174    2.6933    1.4714    2.5262    1.1814    3.1189    0.3417    0.3691    3.0468    0.8663    1.6948    1.1172    2.8767    0.5394
    200000    2.1528    0.6157    2.3403    1.1153    2.6481    0.1253    2.7165    1.7699    0.8145    0.2180    2.9639    0.1302    2.1029    0.5142    3.0130    0.6049    2.0857    0.4519    1.0637    0.6333    0.3276    3.0584    2.5922    2.2141    1.9083    1.7740    2.1830    0.9659    1.0395    2.5867    2.5864    0.0459    1.3644    2.9318    1.6022    2.0230    2.9836    0.4346    1.5365    2.9417    1.9463    2.1213    0.2938    0.0104    2.4650    0.4763    3.1201    1.8487    2.5354    2.7301    2.8096    1.9184    2.8076    3.0743    2.4630    1.8491    1.4598    0.2778    1.7276    0.5621    1.4310    1.8672    1.1605    1.5423    0.1620    0.4807    0.7952    0.8655    2.7743    2.1809    0.9727    2.1751    0.3922    2.0178    0.1383    1.7030    0.5103    1.9606    1.4008    2.0211    0.1020    0.8204    2.9549    1.2403    2.4729    2.5005    2.1495    2.2741    2.5945    0.3091    2.7518    0.5065    2.4557    0.1857    2.1644    0.1474    1.3218
    210000    0.7843    2.3635    2.2761    1.6666    2.8041    1.7189    1.6533    2.9985    1.2214    1.6687    0.1762    0.0845    0.5629    2.2364    1.2069    1.9375    0.7929    0.0086    1.2929    2.3155    2.0416    2.5141    2.0096    2.8262    1.4760    1.5356    0.2052    1.1500    3.1272    1.9120    0.7843    0.4490    1.4822    1.6925    1.3729    2.4070    0.0312    1.7415    3.0567    0.0290    1.1787    0.0691    1.0063    0.9508    2.1484    0.9056    1.9575    0.8308    1.2483    1.7660    2.8398    0.0189    0.8179    3.0341    2.0795    0.2754    2.7195    0.2497    2.0034    0.1500    1.8361    1.0437    0.4216    0.9495    0.1851    0.8283    0.5563    0.6887    0.8496    2.9060    1.5026    1.6609    0.7193    0.6954    0.3393    1.0807    1.2071    0.7390    2.4609    2.1245    1.1947    0.7394    1.4374    1.5529    3.0984    0.9652    0.8240    1.0424    1.0168    1.2646    0.1256    1.1098    0.1600    2.9765    0.0724    0.7406    0.3515
    220000    2.1910    1.0998    2.0872    1.9160    2.6955    1.5467    2.8669    2.6791    2.9625    1.8213    3.0014    1.4062    2.3705    0.0675    3.1108    0.3627    2.6154    0.5459    1.9427    1.3979    2.2788    2.1897    2.8231    1.1009    2.3358    1.6544    0.4024    2.8579    1.8378    2.9570    0.8190    0.0937    0.0882    2.4174    0.6792    0.8321    1.9202    0.4743    1.9366    2.5260    2.0194    1.5970    0.3205    2.2889    1.4669    1.8432    2.6977    0.7711    3.0650    1.7131    1.3894    3.0830    1.9606    2.2441    2.7244    2.9816    2.6276    1.9213    2.8365    1.3300    1.6730    1.3238    0.7056    1.2075    0.0303    2.9847    0.1884    2.2427    1.9675    1.2423    2.2902    0.7013    2.8477    0.7640    2.4074    2.9193    1.1100    1.8331    0.7865    1.3819    0.4527    0.7625    0.1959    1.4817    1.6699    0.7778    2.7174    1.1163    1.3099    2.0830    2.9410    1.5955    0.7916    1.4332    3.0186    0.8650    0.0340
    230000    1.0151    3.1395    1.5988    0.1985    2.2925    2.7569    1.5145    1.4476    0.8161    0.4807    1.2092    2.5648    0.6964    1.9429    0.3252    0.5494    0.4619    0.4420    1.4674    0.5329    0.3580    2.1036    1.8525    1.7586    0.4342    1.3535    0.3188    0.9979    3.0047    0.8192    3.0661    0.6389    2.0460    1.1888    1.0081    1.2022    1.5897    1.3999    2.7334    0.2457    3.1341    0.2384    1.4782    0.0132    2.6882    0.8607    2.6013    0.1413    2.6983    0.8205    3.1395    0.1363    3.1123    0.7253    2.4877    0.9045    2.7871    0.2584    1.6970    0.0136    1.5102    2.3606    0.6064    2.2386    0.2573    2.0341    2.5414    1.2317    1.9652    1.7328    1.9325    1.6080    2.4810    2.0130    3.0441    0.6864    0.8193    1.5913    2.2793    1.4019    0.4090    1.3561    2.6148    0.7350    3.0513    0.3686    2.0061    0.5461    1.1241    0.9968    0.1034    1.7378    0.2049    1.0654    0.2946    0.1239    0.4998
    240000    2.3057    0.9843    2.5221    0.3478    2.2455    1.4237    2.5898    1.3974    1.9874    1.2793    1.3545    0.1872    0.9433    1.3588    1.5430    0.3959    1.1590    0.4198    0.1952    3.1140    2.9468    1.9537    2.9730    1.7041    2.4485    2.4254    1.7361    1.7744    2.5805    1.6510    0.1148    0.2644    0.5141    1.8033    1.0102    1.6154    1.4283    0.3492    2.9352    1.9187    1.0895    1.3930    2.8633    0.0361    0.9764    0.3328    2.8010    0.2504    1.8477    1.8829    2.3391    2.9523    3.0857    1.7705    2.6337    0.6237    1.6770    0.0172    1.6813    0.4553    1.1806    1.5858    0.3967    1.2338    0.0677    0.5497    1.9467    0.9601    1.2255    0.6961    1.4223    0.6512    0.9099    0.8218    1.0364    1.1171    0.0745    1.0995    2.4170    1.1372    0.6157    0.3337    0.9257    0.3394    1.0915    0.0476    1.7168    1.0747    1.2977    0.3358    2.4981    0.3789    2.2442    1.6447    2.5357    1.7644    1.0452
    250000    1.8450    1.5144    3.0638    1.0785    1.1120    2.7300    1.8098    1.8537    2.7004    1.2456    2.5038    0.0163    1.4955    2.5317    2.6205    0.0083    1.2923    0.5174    1.4215    1.3913    0.8976    0.3946    3.1084    1.8201    2.8145    1.9145    1.6544    1.6476    2.6447    1.6212    3.1034    1.0316    2.8180    0.6684    3.0260    0.0209    2.2002    3.1379    1.8325    1.9639    2.2181    1.2923    0.2354    2.9167    1.8685    3.1212    1.4524    3.0535    2.2802    2.9536    2.2751    0.8092    2.7731    0.4260    2.9421    2.4453    2.2714    2.5003    2.4821    0.1921    0.6646    1.5699    0.3005    1.5746    1.2965    2.1173    0.4410    3.0097    0.7656    2.8809    1.1174    2.6922    1.0675    3.0282    1.2781    2.1741    2.2853    0.1647    1.7553    2.8267    2.1193    2.6477    2.7756    2.3659    2.8697    2.1532    2.5439    2.5688    3.1387    2.0087    2.0230    1.6760    1.4478    1.7841    1.9305    2.7775    2.6589
    260000    1.5055    1.4570    2.5677    2.0143    1.1655    2.0935    2.2506    1.4564    0.5094    2.0519    0.6913    2.6070    0.7521    2.2333    0.7307    0.1963    0.1345    0.5239    2.0406    1.2062    1.1950    1.2892    0.2089    2.4467    0.1480    0.9635    0.6482    0.1087    2.5631    0.3101    2.3371    1.3833    1.9592    0.9310    1.1278    1.6292    1.4609    1.7015    3.1265    0.3895    2.8273    0.3152    2.1537    0.4888    2.7034    1.6708    1.5369    0.2053    2.7489    0.6007    2.8234    0.3751    3.0027    0.1102    1.5601    0.0448    2.6629    1.5726    3.1255    0.3896    2.9599    1.0640    1.4643    0.6283    0.2200    1.7893    0.5628    0.4213    2.8331    0.7021    1.8113    1.6519    2.6530    1.3122    2.2339    0.1278    2.6804    0.5789    2.4746    2.4923    2.4921    1.3562    2.2859    0.5135    2.9732    0.1516    1.9116    0.4268    1.3689    0.7600    0.9977    1.9575    2.3069    0.0540    0.1860    2.5353    0.1244
