# Step Torsion_Angles(rad)...
    290000    1.6502    3.0520    2.9697    0.6163    0.1214    1.1611    2.3021    1.8309    1.5435    0.4720    2.9373    3.0619    2.5591    3.0443    2.8627    0.3507    3.1284
    300000    1.8574    3.0880    2.8038    2.4368    2.6737    1.7312    1.3472    1.9017    2.2185    2.9120    2.6470    2.2457    2.1617    2.7383    2.5119    2.2498    2.4436
    310000    1.4264    3.0339    2.4238    2.0638    3.0650    0.8928    3.0437    1.3106    1.6929    0.5231    0.4379    1.0896    2.7945    2.1233    1.8080    1.9667    2.2446
    320000    2.0867    3.0923    2.9922    2.6873    2.5485    1.3112    2.8892    2.2992    2.9491    1.9498    1.0084    3.0926    1.7721    0.1149    2.7193    2.3661    1.4131
    330000    1.6320    3.0238    1.8849    2.4541    2.0163    0.8390    2.8900    0.1822    1.4869    0.7161    2.8676    0.8145    2.9567    2.7835    2.8312    2.5897    2.0985
    340000    1.1065    3.0864    2.9042    2.3561    2.7901    2.6041    1.7638    2.6739    2.6266    0.3115    2.8165    1.6494    2.8196    2.8219    3.0340    3.1173    1.3491
    350000    1.8667    2.7165    3.1187    1.7077    3.0571    1.4737    2.7362    0.4287    2.6890    0.1740    2.9666    0.6435    2.9645    0.1793    2.5007    1.7786    1.6646
    360000    1.6681    3.1341    2.4735    2.8399    2.7852    2.0623    3.0629    2.6548    1.9118    0.3117    3.0850    0.1047    3.0821    0.4271    2.9728    0.7774    2.9457
    370000    1.9657    3.0930    2.8003    2.8320    2.5450    2.5294    2.9882    2.6659    2.4361    2.7936    2.7149    0.7974    1.9038    1.0921    2.4551    0.4762    2.5328
    380000    1.2253    2.9306    2.8296    2.6240    2.2322    2.4891    3.0784    2.0230    3.0425    2.6676    2.5641    0.2309    2.9679    2.8717    2.9607    2.7269    2.5939
    390000    2.0293    3.0132    2.7449    0.0163    3.1012    2.8135    0.0793    2.5134    2.5187    2.3243    2.8824    2.4164    3.0199    3.0452    3.0568    3.1343    2.4639
    400000    1.5323    2.8812    1.3250    2.4906    2.0548    0.2798    3.0362    0.3818    2.9408    0.9763    2.0166    2.9285    2.7827    1.6877    3.0611    1.6895    2.1580
    410000    1.4680    2.9375    2.2855    1.7337    2.5730    0.7590    1.9766    2.0384    2.8257    1.1724    2.8064    1.9038    0.8032    2.2383    2.9683    2.5876    2.8629
    420000    1.9422    3.0861    2.6700    2.7865    3.1245    1.3595    2.6979    1.0565    2.8449    1.0858    2.6173    2.6000    2.3807    1.9636    3.0921    2.0526    2.2178
    430000    1.6871    2.9894    2.7401    2.1389    1.9138    0.9603    3.1204    0.8557    3.0608    2.9685    2.8671    0.8030    2.6245    1.0191    2.0636    2.6349    0.9898
    440000    1.5809    2.9149    2.0753    3.0737    2.6766    1.5241    1.6291    1.3137    1.4999    0.2701    2.3442    0.4721    2.1496    0.6078    3.0695    2.7152    3.0965
    450000    2.0324    0.4777    2.0382    0.4570    2.8452    2.0973    3.1263    2.8582    0.0603    1.9599    2.9894    2.3402    2.7232    1.6006    2.6846    0.1584    1.6855
