# Step Torsion_Angles(rad)...
    420000    2.1024    2.8549    2.7353    2.9102    2.3433    2.9804    2.0716    1.5988    2.3875    1.4835    3.0909    0.7586    1.8032    2.3497    2.4759    1.0681    2.3269    0.0001    1.3530    1.7795    3.0745    0.5504    2.7787    0.6486    2.8688    1.3891    2.5625    2.6709    3.0319    2.9979    1.7204    2.2015    1.7963    1.9580    3.0834    1.2447    2.8964    1.9709    2.1664    2.9020    2.6360    2.7168    3.0606    2.9472    2.1450    2.5183    3.0229
    430000    2.2620    2.7865    2.3705    2.6054    2.3611    0.6993    2.7080    2.2762    1.9046    2.2592    1.5938    0.9371    1.4606    3.1187    1.5977    2.3515    3.0900    1.1984    1.8837    1.5798    1.6680    0.0863    2.4554    0.6509    2.4820    0.9437    2.6240    3.0378    3.0346    2.5839    1.5500    2.3146    2.3039    1.3715    3.0093    1.3265    2.8944    1.3079    1.1189    3.0964    2.4285    2.7158    2.9501    2.3997    2.7065    2.4616    1.5468
    440000    1.7575    0.8726    3.1190    0.8760    2.8718    3.0812    2.2388    2.9021    2.4945    3.1286    1.2692    0.0289    2.1965    2.9790    2.4651    2.9295    1.9961    2.7876    2.4764    1.7223    1.4259    1.9497    0.5293    0.9365    0.7631    0.0069    1.5587    1.7099    2.8291    1.0366    3.0445    0.7482    0.9515    0.7211    0.6979    0.9291    1.2787    1.8921    2.7415    2.8635    0.8051    3.0895    1.7957    1.4607    2.5081    1.9072    2.3713
    450000    2.3851    2.9140    2.8556    2.4211    2.7515    1.6090    2.9210    2.4899    1.9885    1.9508    1.3193    0.2938    1.3609    2.9587    1.5218    2.5244    2.8951    2.1874    1.4759    1.3380    2.1571    0.3796    2.8875    1.7452    2.4926    0.4902    2.5608    2.9480    2.9671    2.2129    1.9357    2.1596    3.0326    1.1212    3.0510    1.7624    0.6257    3.0267    0.1351    2.9814    2.7814    2.5347    2.8140    2.6870    2.0956    1.8877    2.9660
    460000    1.0059    2.5869    3.1007    1.6746    2.1150    1.5740    3.1321    2.3218    2.3523    2.6470    1.8259    0.1328    1.3906    2.5874    1.4277    2.3372    2.2148    1.0714    1.8185    0.4846    2.2362    0.3833    2.8334    0.5879    2.1770    0.9086    2.0031    1.6555    2.2704    1.3661    2.3489    1.4946    3.0376    1.3950    3.1290    0.5162    2.7294    2.1407    2.7604    2.1169    1.7283    3.1248    2.7707    2.8422    2.3749    2.3121    1.5068
    470000    0.7832    2.7801    2.8222    2.3590    2.5348    1.2503    2.9157    3.0654    2.7081    3.1403    1.4425    0.5020    0.8337    3.0209    1.1576    2.3710    2.8671    1.6237    2.0985    2.0151    1.0845    0.0853    2.7358    1.0839    2.3942    0.4682    2.9471    2.6971    3.0752    2.1887    1.9248    2.1249    2.8998    1.1513    2.9831    1.5813    1.7797    1.3183    1.7825    2.3605    2.1135    2.8102    2.6837    2.8369    2.1734    1.1893    2.9827
    480000    2.3112    2.8307    2.8707    2.4642    2.4834    1.1284    3.0602    3.0405    2.1134    3.1290    1.8185    0.6889    0.0581    2.7584    0.9105    2.3023    2.9794    1.1503    1.9719    0.1177    2.4580    0.1322    2.6581    0.7253    2.5750    0.5629    2.9914    2.9768    2.8754    2.5013    2.3366    1.5665    2.8477    1.2971    2.5262    1.5457    2.0763    1.0806    0.2946    2.3460    2.7552    2.7252    2.6493    2.9450    1.7455    1.4022    2.9383
    490000    1.2592    1.7127    2.9573    1.4875    2.9254    2.3836    2.8594    3.0943    2.9610    3.0659    1.0893    0.0470    1.6823    2.7018    1.7538    2.3633    2.7791    1.4530    2.2844    2.3271    2.0435    0.6119    2.9719    0.8013    1.7937    0.2681    2.9422    2.2114    2.9096    1.8796    2.6031    1.4662    2.2342    0.8844    3.0391    0.1077    0.2138    0.4466    2.5363    1.1291    1.5849    2.7348    2.5975    2.8135    2.4258    0.8726    2.9566
    500000    1.1225    2.1803    3.1402    1.0216    2.4194    2.3850    2.7430    0.7010    0.3366    1.6630    3.1177    0.5692    2.5652    1.5179    1.6519    2.0847    2.1982    1.5466    1.5685    0.0955    2.2694    0.2370    3.0794    0.6252    2.0726    0.8290    1.9126    1.9405    2.3899    1.5952    2.6278    1.3652    3.1260    1.3550    2.9657    0.0804    2.5057    2.9065    2.8299    1.9463    1.2157    3.0797    2.8150    2.1504    2.3396    1.8963    2.9855
    510000    1.1292    1.8038    3.0495    0.8193    3.0015    3.0429    2.9383    2.8216    2.5425    2.8051    0.9903    0.0597    1.7736    3.1139    1.9527    2.3662    2.6817    2.2281    2.2883    2.0099    2.2413    1.2625    3.0154    1.0599    0.0648    0.0489    2.0418    0.7022    0.8909    1.3715    2.9319    0.5298    0.2663    0.3155    2.5112    0.6841    1.6667    1.9889    2.5440    2.9559    0.2386    2.3272    2.5113    0.4012    2.9587    2.4963    1.7977
    520000    0.7902    2.7282    2.8496    1.8419    2.4905    1.8031    3.0536    2.6223    2.4231    2.4654    1.0699    0.1894    1.6730    2.4518    1.5408    2.2175    2.8604    1.2901    2.1972    1.9556    1.8921    0.4362    2.8475    0.8805    2.0941    0.4778    3.0170    2.7195    2.9697    2.2030    2.1343    2.0365    2.8360    0.8749    3.1229    0.5126    0.7314    2.0057    1.2048    1.7241    1.5226    2.9726    2.6930    1.8164    2.3858    2.4219    2.6705
    530000    1.1435    2.2091    3.0726    1.6162    2.1307    1.3700    2.7172    1.1675    1.1745    2.7885    1.7287    0.3297    1.2978    2.5232    1.4576    2.0049    2.2754    1.1694    2.0122    1.3196    1.6080    0.0449    2.7794    0.2380    2.2408    0.8480    2.4409    2.2656    2.3606    2.4360    1.3419    2.3398    1.5588    2.0596    2.6923    0.0895    1.8387    2.5025    2.9335    2.3228    1.4436    2.9384    3.1038    2.2830    2.8143    2.9039    2.9057
    540000    1.3199    1.6559    3.0611    0.7514    2.6174    2.7909    3.0504    0.0075    0.1308    2.6513    1.7984    0.2136    2.3507    2.1188    2.0353    2.4900    2.2770    1.2636    2.3549    2.1858    1.5218    0.2451    3.0870    0.3678    1.7470    0.5265    1.6890    1.9377    1.3738    0.5597    2.8658    0.6149    1.8022    0.8735    2.9605    0.4150    1.8575    2.2096    2.7641    2.3055    0.3916    2.6111    2.7638    0.6270    3.0904    2.4077    2.3158
    550000    1.9170    1.2856    2.3745    1.9281    3.0729    1.4288    2.8513    3.0386    2.4235    2.0216    2.0946    0.8151    2.7681    1.2721    3.0672    1.4168    3.0370    0.2507    2.5874    2.6215    3.0238    1.8887    2.7686    2.4280    3.1026    2.6681    1.6213    2.8877    2.9751    0.7478    2.2049    0.9288    0.2304    0.4610    2.9097    1.0769    3.0102    1.7033    2.4603    2.6482    3.0169    2.6346    2.8084    2.8035    1.2834    2.5798    2.8247
    560000    1.3543    1.1802    2.4094    1.1922    0.1120    1.8075    0.4426    3.0935    2.5089    2.8914    1.8604    0.8992    3.1215    1.7801    3.0063    1.9065    2.5929    0.4795    2.7992    2.1242    2.5986    1.9451    2.5123    2.9093    2.7392    3.0614    1.2501    2.7765    3.0611    0.0174    2.8064    1.6989    0.1826    0.8743    2.3263    0.5603    2.5724    1.6529    2.2493    3.0123    3.0877    2.2231    2.7238    2.9068    0.9396    2.7048    2.4522
    570000    1.8546    1.2879    2.7928    0.5886    0.0127    2.4225    2.6858    3.1165    0.9550    0.6561    2.3176    0.7349    3.0422    0.3939    1.3223    0.0696    2.1145    0.7903    2.1660    2.6158    2.8076    2.0538    2.8368    2.3221    3.0169    0.6279    1.2396    2.7970    0.6084    2.0477    1.5391    2.6681    0.9364    2.9008    0.1516    1.5096    1.0979    0.7318    2.8205    1.3328    1.1739    3.0134    0.3640    0.7027    2.6402    1.4477    2.3286
